numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
40800;GUILHERME CARVALHO;DF;PSB;Nenhuma;Deputado Distrital;Deferido
40707;BRUNO GURGEL;DF;PSB;Nenhuma;Deputado Distrital;Deferido
20789;WASHINGTON BAPTISTA;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20191;MAURICIO PARDAL;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20026;IZADORA COIMBRA;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20322;ELIS MONTEIRO;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20222;MÁRCIA MAIA;DF;PSC;Nenhuma;Deputado Distrital;Deferido
36001;SAMARA BRITO;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
36193;KLESLEY PRÓ SOCIAL;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
14322;CIDA BOTELHO;DF;PTB;Nenhuma;Deputado Distrital;Deferido
55222;ADRIANO MARROCOS;DF;PSD;Nenhuma;Deputado Distrital;Deferido
55555;RILDO DO WI FI;DF;PSD;Nenhuma;Deputado Distrital;Deferido
55444;OSVALDÃO DO POVO;DF;PSD;Nenhuma;Deputado Distrital;Deferido
55666;JOAO LEAL;DF;PSD;Nenhuma;Deputado Distrital;Deferido
15069;LÉLIO SAUNDERS;DF;MDB;Nenhuma;Deputado Distrital;Deferido
15070;DIRSOMAR;DF;MDB;Nenhuma;Deputado Distrital;Deferido
15007;LUDMILA;DF;MDB;Nenhuma;Deputado Distrital;Deferido
15030;GIAN CHELOTTI;DF;MDB;Nenhuma;Deputado Distrital;Deferido
77345;TIA MARIA;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Deferido
50300;ITAMAR OLIVEIRA;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Deferido
19022;FREDSON MARQUES;DF;PODE;Nenhuma;Deputado Distrital;Deferido
19000;PEDRO VAZ;DF;PODE;Nenhuma;Deputado Distrital;Deferido
19061;EUGÊNIO DE LOURDES;DF;PODE;Nenhuma;Deputado Distrital;Deferido
19783;JOSIVAN FERREIRA;DF;PODE;Nenhuma;Deputado Distrital;Deferido
19156;SILVÂNIA LEAL;DF;PODE;Nenhuma;Deputado Distrital;Deferido
11222;MILENA CÂMARA;DF;PP;Nenhuma;Deputado Distrital;Deferido
13222;JOÃO DÃO RODOVIÁRIO;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Distrital;Deferido
43000;PROF. MICHELLE SALES;DF;PV;Federação Brasil da Esperança - FE BRASIL;Deputado Distrital;Deferido
13023;TUQUINHA BESSA;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Distrital;Deferido
27227;CRISTIANE DE PAULA;DF;DC;Nenhuma;Deputado Distrital;Deferido
28008;RICARDO FONSECA;DF;PRTB;Nenhuma;Deputado Distrital;Deferido
28217;FATIMA CAVALCANTE;DF;PRTB;Nenhuma;Deputado Distrital;Deferido
28028;FÁBIO GOMES;DF;PRTB;Nenhuma;Deputado Distrital;Deferido
28190;SARGENTO VIANA;DF;PRTB;Nenhuma;Deputado Distrital;Deferido
30030;JAJA;DF;NOVO;Nenhuma;Deputado Distrital;Deferido
161;RENATO;DF;PSTU;Nenhuma;1º Suplente;Deferido
123;GEORGES MICHEL;DF;PDT;Nenhuma;1º Suplente;Deferido
555;JOÃO CÂNDIDO;DF;PODE;Nenhuma;2º Suplente;Deferido
27;PASTORA SUELENE;DF;DC;Nenhuma;Vice-Governador;Deferido
15;CELINA LEÃO;DF;PP;Nenhuma;Vice-Governador;Deferido
21;TEODORO DA CRUZ TÉO;DF;PCB;Nenhuma;Governador;Deferido
29;RENAN ARRUDA;DF;PCO;Nenhuma;Governador;Indeferido
1310;AGNELO QUEIROZ;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Federal;Indeferido
7040;AMANDA CHRISTINA;DF;AVANTE;Nenhuma;Deputado Federal;Indeferido
77999;ABIAS SILVA;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Indeferido
77234;SAMUEL GAÚCHO;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Indeferido
40;PARENTE;DF;PSB;Nenhuma;Governador;Indeferido
45190;CORONEL NUNES;DF;PSDB;Federação PSDB Cidadania;Deputado Distrital;Indeferido
